PROVIDER$CODE_;PROVIDERPRICEDVALUECODE_;PRICEDATE;NAV_;CLOSE_
SIXTELEKURS;MA0000040180;29/08/2017;169.61;
SIXTELEKURS;MA0000036659;29/08/2017;1340.09;
SIXTELEKURS;MA0000040339;29/08/2017;207.62;
SIXTELEKURS;MA0000036048;29/08/2017;189.89;
SIXTELEKURS;MA0000030553;29/08/2017;4792.33;
SIXTELEKURS;MA0000040271;29/08/2017;172546.19;
SIXTELEKURS;MA0000030645;02/12/2016;6635.52;
SIXTELEKURS;MA0000030645;09/12/2016;6812.2;
SIXTELEKURS;MA0000030645;16/12/2016;7004.2;
SIXTELEKURS;MA0000030645;23/12/2016;7437.71;
SIXTELEKURS;MA0000030645;30/12/2016;7321.78;
SIXTELEKURS;MA0000030645;06/01/2017;7969.93;
SIXTELEKURS;MA0000030645;13/01/2017;8027.01;
SIXTELEKURS;MA0000030645;20/01/2017;7941.05;
SIXTELEKURS;MA0000030645;27/01/2017;7929.06;
SIXTELEKURS;MA0000030645;03/02/2017;7777.87;
SIXTELEKURS;MA0000030645;10/02/2017;7781.92;
SIXTELEKURS;MA0000030645;17/02/2017;7715.11;
SIXTELEKURS;MA0000030645;24/02/2017;7479.73;
SIXTELEKURS;MA0000030645;03/03/2017;7571.22;
SIXTELEKURS;MA0000030645;10/03/2017;7575.72;
SIXTELEKURS;MA0000030645;17/03/2017;7631.86;
SIXTELEKURS;MA0000030645;24/03/2017;7377.63;
SIXTELEKURS;MA0000030645;31/03/2017;7306.71;
SIXTELEKURS;MA0000030645;07/04/2017;7226.85;
SIXTELEKURS;MA0000030645;14/04/2017;7199.79;
SIXTELEKURS;MA0000030645;21/04/2017;7270.31;
SIXTELEKURS;MA0000030645;28/04/2017;7459.32;
SIXTELEKURS;MA0000030645;05/05/2017;7528.55;
SIXTELEKURS;MA0000030645;12/05/2017;7552.41;
SIXTELEKURS;MA0000030645;19/05/2017;7552.67;
SIXTELEKURS;MA0000030645;26/05/2017;7575.28;
SIXTELEKURS;MA0000030645;02/06/2017;7591.94;
SIXTELEKURS;MA0000030645;09/06/2017;7669.62;
SIXTELEKURS;MA0000030645;16/06/2017;7708.23;
SIXTELEKURS;MA0000030645;23/06/2017;7875.69;
SIXTELEKURS;MA0000030645;30/06/2017;7928.56;
SIXTELEKURS;MA0000030645;07/07/2017;8188.24;
SIXTELEKURS;MA0000030645;14/07/2017;8151.01;
SIXTELEKURS;MA0000030645;21/07/2017;8028.9;
SIXTELEKURS;MA0000030645;28/07/2017;8156.23;
SIXTELEKURS;MA0000030645;04/08/2017;8071.59;
SIXTELEKURS;MA0000030645;11/08/2017;8149.8;
SIXTELEKURS;MA0000030645;18/08/2017;8130.45;
SIXTELEKURS;MA0000030645;25/08/2017;8098.45;
SIXTELEKURS;MA0000036659;01/12/2016;1320.91;
SIXTELEKURS;MA0000036659;02/12/2016;1320.98;
SIXTELEKURS;MA0000036659;05/12/2016;1321.19;
SIXTELEKURS;MA0000036659;06/12/2016;1321.26;
SIXTELEKURS;MA0000036659;07/12/2016;1321.32;
SIXTELEKURS;MA0000036659;08/12/2016;1321.4;
SIXTELEKURS;MA0000036659;09/12/2016;1321.46;
SIXTELEKURS;MA0000036659;14/12/2016;1321.81;
SIXTELEKURS;MA0000036659;15/12/2016;1321.87;
SIXTELEKURS;MA0000036659;16/12/2016;1321.94;
SIXTELEKURS;MA0000036659;19/12/2016;1322.14;
SIXTELEKURS;MA0000036659;20/12/2016;1322.21;
SIXTELEKURS;MA0000036659;21/12/2016;1322.27;
SIXTELEKURS;MA0000036659;22/12/2016;1322.32;
SIXTELEKURS;MA0000036659;23/12/2016;1322.4;
SIXTELEKURS;MA0000036659;26/12/2016;1322.61;
SIXTELEKURS;MA0000036659;27/12/2016;1322.68;
SIXTELEKURS;MA0000036659;28/12/2016;1322.75;
SIXTELEKURS;MA0000036659;29/12/2016;1322.82;
SIXTELEKURS;MA0000036659;30/12/2016;1322.89;
SIXTELEKURS;MA0000036659;02/01/2017;1323.11;
SIXTELEKURS;MA0000036659;03/01/2017;1323.18;
SIXTELEKURS;MA0000036659;04/01/2017;1323.26;
SIXTELEKURS;MA0000036659;05/01/2017;1323.33;
SIXTELEKURS;MA0000036659;06/01/2017;1323.4;
SIXTELEKURS;MA0000036659;09/01/2017;1323.62;
SIXTELEKURS;MA0000036659;10/01/2017;1323.69;
SIXTELEKURS;MA0000036659;12/01/2017;1323.84;
SIXTELEKURS;MA0000036659;13/01/2017;1323.91;
SIXTELEKURS;MA0000036659;16/01/2017;1324.12;
SIXTELEKURS;MA0000036659;17/01/2017;1324.2;
SIXTELEKURS;MA0000036659;18/01/2017;1324.27;
SIXTELEKURS;MA0000036659;19/01/2017;1324.34;
SIXTELEKURS;MA0000036659;20/01/2017;1324.41;
SIXTELEKURS;MA0000036659;23/01/2017;1324.62;
SIXTELEKURS;MA0000036659;24/01/2017;1324.7;
SIXTELEKURS;MA0000036659;25/01/2017;1324.77;
SIXTELEKURS;MA0000036659;26/01/2017;1324.84;
SIXTELEKURS;MA0000036659;27/01/2017;1324.9;
SIXTELEKURS;MA0000036659;30/01/2017;1325.11;
SIXTELEKURS;MA0000036659;31/01/2017;1325.18;
SIXTELEKURS;MA0000036659;01/02/2017;1325.25;
SIXTELEKURS;MA0000036659;02/02/2017;1325.33;
SIXTELEKURS;MA0000036659;03/02/2017;1325.4;
SIXTELEKURS;MA0000036659;06/02/2017;1325.61;
SIXTELEKURS;MA0000036659;07/02/2017;1325.68;
SIXTELEKURS;MA0000036659;08/02/2017;1325.76;
SIXTELEKURS;MA0000036659;09/02/2017;1325.84;
SIXTELEKURS;MA0000036659;10/02/2017;1325.91;
SIXTELEKURS;MA0000036659;13/02/2017;1326.12;
SIXTELEKURS;MA0000036659;14/02/2017;1326.19;
SIXTELEKURS;MA0000036659;15/02/2017;1326.27;
SIXTELEKURS;MA0000036659;16/02/2017;1326.34;
SIXTELEKURS;MA0000036659;17/02/2017;1326.41;
SIXTELEKURS;MA0000036659;20/02/2017;1326.62;
SIXTELEKURS;MA0000036659;21/02/2017;1326.69;
SIXTELEKURS;MA0000036659;22/02/2017;1326.76;
SIXTELEKURS;MA0000036659;23/02/2017;1326.83;
SIXTELEKURS;MA0000036659;24/02/2017;1326.9;
SIXTELEKURS;MA0000036659;27/02/2017;1327.1;
SIXTELEKURS;MA0000036659;28/02/2017;1327.17;
SIXTELEKURS;MA0000036659;01/03/2017;1327.24;
SIXTELEKURS;MA0000036659;02/03/2017;1327.31;
SIXTELEKURS;MA0000036659;03/03/2017;1327.38;
SIXTELEKURS;MA0000036659;06/03/2017;1327.58;
SIXTELEKURS;MA0000036659;07/03/2017;1327.65;
SIXTELEKURS;MA0000036659;08/03/2017;1327.72;
SIXTELEKURS;MA0000036659;09/03/2017;1327.79;
SIXTELEKURS;MA0000036659;10/03/2017;1327.86;
SIXTELEKURS;MA0000036659;13/03/2017;1328.07;
SIXTELEKURS;MA0000036659;14/03/2017;1328.13;
SIXTELEKURS;MA0000036659;15/03/2017;1328.2;
SIXTELEKURS;MA0000036659;16/03/2017;1328.27;
SIXTELEKURS;MA0000036659;17/03/2017;1328.34;
SIXTELEKURS;MA0000036659;20/03/2017;1328.55;
SIXTELEKURS;MA0000036659;21/03/2017;1328.62;
SIXTELEKURS;MA0000036659;22/03/2017;1328.69;
SIXTELEKURS;MA0000036659;23/03/2017;1328.76;
SIXTELEKURS;MA0000036659;24/03/2017;1328.83;
SIXTELEKURS;MA0000036659;27/03/2017;1329.03;
SIXTELEKURS;MA0000036659;28/03/2017;1329.11;
SIXTELEKURS;MA0000036659;29/03/2017;1329.17;
SIXTELEKURS;MA0000036659;30/03/2017;1329.24;
SIXTELEKURS;MA0000036659;31/03/2017;1329.31;
SIXTELEKURS;MA0000036659;03/04/2017;1329.52;
SIXTELEKURS;MA0000036659;04/04/2017;1329.59;
SIXTELEKURS;MA0000036659;05/04/2017;1329.66;
SIXTELEKURS;MA0000036659;06/04/2017;1329.73;
SIXTELEKURS;MA0000036659;07/04/2017;1329.8;
SIXTELEKURS;MA0000036659;10/04/2017;1330.02;
SIXTELEKURS;MA0000036659;11/04/2017;1330.09;
SIXTELEKURS;MA0000036659;12/04/2017;1330.16;
SIXTELEKURS;MA0000036659;13/04/2017;1330.23;
SIXTELEKURS;MA0000036659;14/04/2017;1330.3;
SIXTELEKURS;MA0000036659;17/04/2017;1330.5;
SIXTELEKURS;MA0000036659;18/04/2017;1330.57;
SIXTELEKURS;MA0000036659;19/04/2017;1330.65;
SIXTELEKURS;MA0000036659;20/04/2017;1330.72;
SIXTELEKURS;MA0000036659;21/04/2017;1330.79;
SIXTELEKURS;MA0000036659;24/04/2017;1331;
SIXTELEKURS;MA0000036659;25/04/2017;1331.08;
SIXTELEKURS;MA0000036659;26/04/2017;1331.15;
SIXTELEKURS;MA0000036659;27/04/2017;1331.22;
SIXTELEKURS;MA0000036659;28/04/2017;1331.29;
SIXTELEKURS;MA0000036659;02/05/2017;1331.57;
SIXTELEKURS;MA0000036659;03/05/2017;1331.65;
SIXTELEKURS;MA0000036659;04/05/2017;1331.71;
SIXTELEKURS;MA0000036659;05/05/2017;1331.78;
SIXTELEKURS;MA0000036659;08/05/2017;1332;
SIXTELEKURS;MA0000036659;09/05/2017;1332.07;
SIXTELEKURS;MA0000036659;10/05/2017;1332.14;
SIXTELEKURS;MA0000036659;11/05/2017;1332.22;
SIXTELEKURS;MA0000036659;12/05/2017;1332.29;
SIXTELEKURS;MA0000036659;15/05/2017;1332.5;
SIXTELEKURS;MA0000036659;16/05/2017;1332.57;
SIXTELEKURS;MA0000036659;17/05/2017;1332.64;
SIXTELEKURS;MA0000036659;18/05/2017;1332.71;
SIXTELEKURS;MA0000036659;19/05/2017;1332.78;
SIXTELEKURS;MA0000036659;22/05/2017;1332.99;
SIXTELEKURS;MA0000036659;23/05/2017;1333.06;
SIXTELEKURS;MA0000036659;24/05/2017;1333.13;
SIXTELEKURS;MA0000036659;25/05/2017;1333.19;
SIXTELEKURS;MA0000036659;26/05/2017;1333.26;
SIXTELEKURS;MA0000036659;29/05/2017;1333.46;
SIXTELEKURS;MA0000036659;30/05/2017;1333.54;
SIXTELEKURS;MA0000036659;31/05/2017;1333.6;
SIXTELEKURS;MA0000036659;01/06/2017;1333.67;
SIXTELEKURS;MA0000036659;02/06/2017;1333.73;
SIXTELEKURS;MA0000036659;05/06/2017;1333.94;
SIXTELEKURS;MA0000036659;06/06/2017;1334.01;
SIXTELEKURS;MA0000036659;07/06/2017;1334.08;
SIXTELEKURS;MA0000036659;08/06/2017;1334.15;
SIXTELEKURS;MA0000036659;09/06/2017;1334.22;
SIXTELEKURS;MA0000036659;12/06/2017;1334.43;
SIXTELEKURS;MA0000036659;13/06/2017;1334.5;
SIXTELEKURS;MA0000036659;14/06/2017;1334.55;
SIXTELEKURS;MA0000036659;15/06/2017;1334.62;
SIXTELEKURS;MA0000036659;16/06/2017;1334.69;
SIXTELEKURS;MA0000036659;19/06/2017;1334.9;
SIXTELEKURS;MA0000036659;20/06/2017;1334.97;
SIXTELEKURS;MA0000036659;21/06/2017;1335.03;
SIXTELEKURS;MA0000036659;22/06/2017;1335.09;
SIXTELEKURS;MA0000036659;23/06/2017;1335.16;
SIXTELEKURS;MA0000036659;28/06/2017;1335.45;
SIXTELEKURS;MA0000036659;29/06/2017;1335.53;
SIXTELEKURS;MA0000036659;30/06/2017;1335.6;
SIXTELEKURS;MA0000036659;03/07/2017;1335.82;
SIXTELEKURS;MA0000036659;04/07/2017;1335.93;
SIXTELEKURS;MA0000036659;05/07/2017;1335.97;
SIXTELEKURS;MA0000036659;06/07/2017;1336.04;
SIXTELEKURS;MA0000036659;07/07/2017;1336.12;
SIXTELEKURS;MA0000036659;10/07/2017;1336.34;
SIXTELEKURS;MA0000036659;11/07/2017;1336.39;
SIXTELEKURS;MA0000036659;12/07/2017;1336.46;
SIXTELEKURS;MA0000036659;13/07/2017;1336.53;
SIXTELEKURS;MA0000036659;14/07/2017;1336.6;
SIXTELEKURS;MA0000036659;17/07/2017;1336.82;
SIXTELEKURS;MA0000036659;18/07/2017;1336.9;
SIXTELEKURS;MA0000036659;19/07/2017;1336.97;
SIXTELEKURS;MA0000036659;20/07/2017;1337.05;
SIXTELEKURS;MA0000036659;21/07/2017;1337.12;
SIXTELEKURS;MA0000036659;24/07/2017;1337.35;
SIXTELEKURS;MA0000036659;25/07/2017;1337.43;
SIXTELEKURS;MA0000036659;26/07/2017;1337.5;
SIXTELEKURS;MA0000036659;27/07/2017;1337.58;
SIXTELEKURS;MA0000036659;28/07/2017;1337.65;
SIXTELEKURS;MA0000036659;31/07/2017;1337.88;
SIXTELEKURS;MA0000036659;01/08/2017;1337.96;
SIXTELEKURS;MA0000036659;02/08/2017;1338.04;
SIXTELEKURS;MA0000036659;03/08/2017;1338.11;
SIXTELEKURS;MA0000036659;04/08/2017;1338.19;
SIXTELEKURS;MA0000036659;07/08/2017;1338.41;
SIXTELEKURS;MA0000036659;08/08/2017;1338.49;
SIXTELEKURS;MA0000036659;09/08/2017;1338.56;
SIXTELEKURS;MA0000036659;10/08/2017;1338.64;
SIXTELEKURS;MA0000036659;11/08/2017;1338.72;
SIXTELEKURS;MA0000036659;15/08/2017;1339.02;
SIXTELEKURS;MA0000036659;16/08/2017;1339.1;
SIXTELEKURS;MA0000036659;17/08/2017;1339.18;
SIXTELEKURS;MA0000036659;18/08/2017;1339.25;
SIXTELEKURS;MA0000036659;22/08/2017;1339.56;
SIXTELEKURS;MA0000036659;23/08/2017;1339.63;
SIXTELEKURS;MA0000036659;24/08/2017;1339.72;
SIXTELEKURS;MA0000036659;25/08/2017;1339.79;
