PROVIDER$CODE_;PROVIDERPRICEDVALUECODE_;PRICEDATE;NAV_;CLOSE_;Nom
SIXTELEKURS;MA0000040180;29/08/2017;169.61;;FCP OBLIDYNAMIC
SIXTELEKURS;MA0000036659;29/08/2017;1340.09;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000040339;29/08/2017;207.62;;FCP ATTIJARI MONETAIRE JOUR
SIXTELEKURS;MA0000036048;29/08/2017;189.89;;FCP ATTIJARI MONETAIRE PLUS
SIXTELEKURS;MA0000030553;29/08/2017;4792.33;;SICAV ATTIJARI TRESORERIE
SIXTELEKURS;MA0000040271;29/08/2017;172546.19;;FCP CAP MONETAIRE PREMIERE
SIXTELEKURS;MA0000030645;02/12/2016;6635.52;;SICAV ATTIJARI PATRIMOINE VALEURS
SIXTELEKURS;MA0000030645;09/12/2016;6812.2;;SICAV ATTIJARI PATRIMOINE VALEURS
SIXTELEKURS;MA0000030645;16/12/2016;7004.2;;SICAV ATTIJARI PATRIMOINE VALEURS
SIXTELEKURS;MA0000030645;23/12/2016;7437.71;;SICAV ATTIJARI PATRIMOINE VALEURS
SIXTELEKURS;MA0000030645;30/12/2016;7321.78;;SICAV ATTIJARI PATRIMOINE VALEURS
SIXTELEKURS;MA0000030645;06/01/2017;7969.93;;SICAV ATTIJARI PATRIMOINE VALEURS
SIXTELEKURS;MA0000030645;13/01/2017;8027.01;;SICAV ATTIJARI PATRIMOINE VALEURS
SIXTELEKURS;MA0000030645;20/01/2017;7941.05;;SICAV ATTIJARI PATRIMOINE VALEURS
SIXTELEKURS;MA0000030645;27/01/2017;7929.06;;SICAV ATTIJARI PATRIMOINE VALEURS
SIXTELEKURS;MA0000030645;03/02/2017;7777.87;;SICAV ATTIJARI PATRIMOINE VALEURS
SIXTELEKURS;MA0000030645;10/02/2017;7781.92;;SICAV ATTIJARI PATRIMOINE VALEURS
SIXTELEKURS;MA0000030645;17/02/2017;7715.11;;SICAV ATTIJARI PATRIMOINE VALEURS
SIXTELEKURS;MA0000030645;24/02/2017;7479.73;;SICAV ATTIJARI PATRIMOINE VALEURS
SIXTELEKURS;MA0000030645;03/03/2017;7571.22;;SICAV ATTIJARI PATRIMOINE VALEURS
SIXTELEKURS;MA0000030645;10/03/2017;7575.72;;SICAV ATTIJARI PATRIMOINE VALEURS
SIXTELEKURS;MA0000030645;17/03/2017;7631.86;;SICAV ATTIJARI PATRIMOINE VALEURS
SIXTELEKURS;MA0000030645;24/03/2017;7377.63;;SICAV ATTIJARI PATRIMOINE VALEURS
SIXTELEKURS;MA0000030645;31/03/2017;7306.71;;SICAV ATTIJARI PATRIMOINE VALEURS
SIXTELEKURS;MA0000030645;07/04/2017;7226.85;;SICAV ATTIJARI PATRIMOINE VALEURS
SIXTELEKURS;MA0000030645;14/04/2017;7199.79;;SICAV ATTIJARI PATRIMOINE VALEURS
SIXTELEKURS;MA0000030645;21/04/2017;7270.31;;SICAV ATTIJARI PATRIMOINE VALEURS
SIXTELEKURS;MA0000030645;28/04/2017;7459.32;;SICAV ATTIJARI PATRIMOINE VALEURS
SIXTELEKURS;MA0000030645;05/05/2017;7528.55;;SICAV ATTIJARI PATRIMOINE VALEURS
SIXTELEKURS;MA0000030645;12/05/2017;7552.41;;SICAV ATTIJARI PATRIMOINE VALEURS
SIXTELEKURS;MA0000030645;19/05/2017;7552.67;;SICAV ATTIJARI PATRIMOINE VALEURS
SIXTELEKURS;MA0000030645;26/05/2017;7575.28;;SICAV ATTIJARI PATRIMOINE VALEURS
SIXTELEKURS;MA0000030645;02/06/2017;7591.94;;SICAV ATTIJARI PATRIMOINE VALEURS
SIXTELEKURS;MA0000030645;09/06/2017;7669.62;;SICAV ATTIJARI PATRIMOINE VALEURS
SIXTELEKURS;MA0000030645;16/06/2017;7708.23;;SICAV ATTIJARI PATRIMOINE VALEURS
SIXTELEKURS;MA0000030645;23/06/2017;7875.69;;SICAV ATTIJARI PATRIMOINE VALEURS
SIXTELEKURS;MA0000030645;30/06/2017;7928.56;;SICAV ATTIJARI PATRIMOINE VALEURS
SIXTELEKURS;MA0000030645;07/07/2017;8188.24;;SICAV ATTIJARI PATRIMOINE VALEURS
SIXTELEKURS;MA0000030645;14/07/2017;8151.01;;SICAV ATTIJARI PATRIMOINE VALEURS
SIXTELEKURS;MA0000030645;21/07/2017;8028.9;;SICAV ATTIJARI PATRIMOINE VALEURS
SIXTELEKURS;MA0000030645;28/07/2017;8156.23;;SICAV ATTIJARI PATRIMOINE VALEURS
SIXTELEKURS;MA0000030645;04/08/2017;8071.59;;SICAV ATTIJARI PATRIMOINE VALEURS
SIXTELEKURS;MA0000030645;11/08/2017;8149.8;;SICAV ATTIJARI PATRIMOINE VALEURS
SIXTELEKURS;MA0000030645;18/08/2017;8130.45;;SICAV ATTIJARI PATRIMOINE VALEURS
SIXTELEKURS;MA0000030645;25/08/2017;8098.45;;SICAV ATTIJARI PATRIMOINE VALEURS
SIXTELEKURS;MA0000036659;01/12/2016;1320.91;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;02/12/2016;1320.98;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;05/12/2016;1321.19;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;06/12/2016;1321.26;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;07/12/2016;1321.32;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;08/12/2016;1321.4;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;09/12/2016;1321.46;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;14/12/2016;1321.81;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;15/12/2016;1321.87;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;16/12/2016;1321.94;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;19/12/2016;1322.14;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;20/12/2016;1322.21;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;21/12/2016;1322.27;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;22/12/2016;1322.32;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;23/12/2016;1322.4;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;26/12/2016;1322.61;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;27/12/2016;1322.68;;FCP ATTIJARI LIQUIDITE
